venueIndex,VenueId,Latitude,Longitude,L1_category,visitedNum,categoryId
349,4b083063f964a520d00523e3,33.574747,-112.064884,Professional & Other Places,0,6
350,4b085fe0f964a520640a23e3,33.599775,-112.038503,Shop & Service,0,8
351,4b086c5df964a5208b0b23e3,33.59992,-111.989286,Shop & Service,1,8
352,4b0872a6f964a520160c23e3,33.609794,-112.179379,Professional & Other Places,0,6
353,4b089b8df964a520590f23e3,33.44889,-112.070643,Arts & Entertainment,0,0
354,4b08a1b2f964a520e00f23e3,33.510046,-112.045634,Shop & Service,16,8
355,4b08a5caf964a520351023e3,33.452809,-112.069228,Shop & Service,17,8
356,4b08b11bf964a520d81023e3,33.508098,-112.042651,Shop & Service,2,8
357,4b08cecff964a520781223e3,33.510101,-111.995772,Shop & Service,0,8
358,4b09a86ef964a520221b23e3,33.39094,-112.013023,Shop & Service,2,8
359,4b0a01ecf964a520042123e3,33.448143,-112.096375,Professional & Other Places,2,6
360,4b0ab6f9f964a520d12623e3,33.673746,-112.077826,College & University,32,1
361,4b0af317f964a520932a23e3,33.44261,-111.955351,Food,6,3
362,4b0b3af5f964a520152f23e3,33.553904,-112.098558,Drink,1,2
363,4b0c4a7cf964a520943a23e3,33.453621,-112.073396,College & University,0,1
364,4b0c65c6f964a520733c23e3,33.551107,-112.134915,Shop & Service,2,8
365,4b0c7246f964a520753d23e3,33.453572,-112.072392,College & University,8,1
366,4b0dc7ebf964a520055023e3,33.478967,-111.984873,Shop & Service,0,8
367,4b0defbcf964a520e55223e3,33.511107,-112.028195,Shop & Service,0,8
368,4b0eff2ff964a520ce5d23e3,33.450748,-112.000042,Food,0,3
369,4b0fddbaf964a5209f6523e3,33.609909,-112.118253,Shop & Service,1,8
370,4b103071f964a520dc6a23e3,33.580612,-112.121437,Shop & Service,5,8
371,4b110ff3f964a520d47723e3,33.508708,-112.273333,Shop & Service,0,8
372,4b1163bef964a5207c7b23e3,33.456025,-112.073518,Shop & Service,1,8
373,4b11aa19f964a520c08123e3,33.57866,-112.108869,Professional & Other Places,1,6
374,4b11cf44f964a520268523e3,33.556879,-112.112222,Professional & Other Places,4,6
375,4b11d511f964a520a58523e3,33.597462,-112.150016,Shop & Service,6,8
376,4b130f62f964a520869323e3,33.526352,-112.132505,Shop & Service,0,8
377,4b1404c6f964a520d99b23e3,33.508755,-112.045815,Food,0,3
378,4b145d53f964a520e4a123e3,33.49483,-112.01968,Shop & Service,1,8
379,4b146aa5f964a520d6a223e3,33.53885,-112.064756,Food,1,3
380,4b14c003f964a52048a623e3,33.422346,-111.96175,Food,3,3
381,4b153782f964a5206ca923e3,33.508107,-112.040374,Shop & Service,2,8
382,4b155041f964a52037b023e3,33.445829,-112.071168,Arts & Entertainment,50,0
383,4b155041f964a52038b023e3,33.527515,-112.262635,College & University,12,1
384,4b155042f964a52039b023e3,33.531879,-112.261133,Arts & Entertainment,1,0
385,4b1702a8f964a520dac023e3,33.579848,-112.123932,Drink,0,2
386,4b170a86f964a52062c123e3,33.381788,-112.032223,College & University,0,1
387,4b173145f964a52094c323e3,33.50917,-112.0405,Shop & Service,0,8
388,4b189c1df964a5209ed423e3,33.640973,-112.118026,Food,1,3
389,4b196155f964a5204edc23e3,33.65982,-112.115825,Shop & Service,2,8
390,4b196b3af964a52000dd23e3,33.479985,-112.077729,Food,0,3
391,4b198272f964a5209dde23e3,33.510225,-112.046946,Professional & Other Places,0,6
392,4b19c434f964a520c6e323e3,33.378281,-112.100907,Shop & Service,0,8
393,4b19cc88f964a52063e423e3,33.566843,-112.071189,Shop & Service,0,8
394,4b1acca9f964a52018f223e3,33.666497,-112.119244,Shop & Service,1,8
395,4b1b03a5f964a5206ff623e3,33.530818,-112.064909,Food,0,3
396,4b1bf976f964a520eaff23e3,33.581457,-112.12336,Drink,1,2
397,4b1c4b7bf964a520a70524e3,33.50891,-112.265553,Food,1,3
398,4b1c4ceef964a520b80524e3,33.507921,-112.266481,Food,0,3
399,4b1c59b4f964a5206c0624e3,33.507456,-112.040956,Food,0,3
400,4b1c8121f964a520f80724e3,33.538897,-112.062468,Shop & Service,3,8
401,4b1d2fcff964a520af0c24e3,33.580657,-112.124653,Shop & Service,1,8
402,4b1d390cf964a520390d24e3,33.518,-112.081814,Professional & Other Places,0,6
403,4b1dac83f964a520c91324e3,33.44872,-112.072306,Drink,3,2
404,4b1e5ad5f964a520231924e3,33.582661,-112.115255,Travel & Transport,0,9
405,4b1fc946f964a520092924e3,33.508657,-112.045719,Food,0,3
406,4b20396ef964a520f82e24e3,33.493832,-112.083182,Professional & Other Places,1,6
407,4b214d1cf964a520d03924e3,33.466142,-112.27841,Food,3,3
408,4b2430e5f964a5205a6324e3,33.508511,-112.027601,Arts & Entertainment,6,0
409,4b24519af964a520d36524e3,33.510055,-112.029798,Food,2,3
410,4b2466e5f964a5201c6724e3,33.466102,-112.035315,Nightlife Spot,0,4
411,4b259099f964a520e37324e3,33.477218,-112.073507,Food,0,3
412,4b259f3df964a520aa7424e3,33.449941,-112.071789,Food,0,3
413,4b25b646f964a520967524e3,33.508481,-112.041364,Shop & Service,9,8
414,4b26e61ff964a520b68224e3,33.376161,-112.166505,Shop & Service,0,8
415,4b299c43f964a520aea124e3,33.509501,-112.073262,Food,7,3
416,4b2a576cf964a52079a724e3,33.491045,-112.073326,Food,2,3
417,4b2a5b7ff964a520aca724e3,33.465888,-112.221479,Drink,10,2
418,4b2a63dcf964a5202da824e3,33.509626,-112.037556,Food,0,3
419,4b2ad184f964a5203bb024e3,33.483868,-112.075948,Nightlife Spot,7,4
420,4b2adfe6f964a52053b124e3,33.407603,-111.947594,Nightlife Spot,3,4
421,4b2bce8ff964a5205cbb24e3,33.455493,-111.98889,Food,0,3
422,4b2c0835f964a52008c024e3,33.458808,-112.077402,Drink,40,2
423,4b2c0c4cf964a52063c024e3,33.639203,-112.066561,Food,3,3
424,4b2c37b2f964a52002c424e3,33.377186,-112.029858,Food,0,3
425,4b2d958cf964a52039d924e3,33.606822,-112.065515,Drink,1,2
426,4b2edcbdf964a52095e724e3,33.508003,-112.275574,Drink,0,2
427,4b2ee833f964a52020e824e3,33.379045,-112.170223,Shop & Service,1,8
428,4b302880f964a52013f724e3,33.561034,-112.115872,Food,0,3
429,4b315eedf964a520a20525e3,33.508373,-112.254696,Shop & Service,1,8
430,4b3174c1f964a5203d0725e3,33.63983,-112.087729,Food,0,3
431,4b3183b9f964a520420825e3,33.479278,-111.987484,Drink,0,2
432,4b330133f964a520f41625e3,33.533435,-112.260743,Nightlife Spot,0,4
433,4b332b95f964a520f31725e3,33.637884,-112.098022,Shop & Service,4,8
434,4b33b402f964a520531d25e3,33.611789,-112.110642,Shop & Service,0,8
435,4b33dacbf964a520a42025e3,33.600814,-111.976658,Shop & Service,3,8
436,4b341d3cf964a520282525e3,33.529703,-112.074653,Professional & Other Places,0,6
437,4b342dc4f964a520d72525e3,33.511316,-112.047222,Food,2,3
438,4b343cd0f964a5206a2625e3,33.643001,-112.031292,Nightlife Spot,0,4
439,4b35d316f964a5200a2f25e3,33.465442,-112.04727,Food,0,3
440,4b3670e6f964a5207a3525e3,33.596755,-111.980571,Food,8,3
441,4b36ea6bf964a520263e25e3,33.539606,-112.099342,Food,0,3
442,4b37a049f964a5203e4325e3,33.537525,-112.098209,Shop & Service,1,8
443,4b39b632f964a520ac5e25e3,33.476735,-111.986561,Food,0,3
444,4b3a440ef964a5204b6325e3,33.509973,-111.986457,Shop & Service,0,8
445,4b3a8847f964a520706925e3,33.465486,-112.082852,Drink,2,2
446,4b3aa36ff964a520ac6b25e3,33.509661,-112.046685,Shop & Service,1,8
447,4b3ab988f964a520646d25e3,33.479631,-112.223205,Food,0,3
448,4b3b95f7f964a520687625e3,33.509838,-112.099466,Shop & Service,0,8
449,4b3bc2d5f964a5208e7a25e3,33.450485,-111.975535,Professional & Other Places,0,6
450,4b3be4cff964a520cc7d25e3,33.508885,-112.063109,Food,0,3
451,4b3cfe3df964a520608b25e3,33.465559,-112.081034,Shop & Service,0,8
452,4b3d1b0af964a520168e25e3,33.538091,-112.25995,Food,0,3
453,4b3d4b4ef964a520ca9125e3,33.581478,-111.979103,Shop & Service,12,8
454,4b3ebf65f964a520aca125e3,33.507479,-111.949675,Travel & Transport,0,9
455,4b3f9986f964a52009aa25e3,33.404137,-111.978809,Food,1,3
456,4b3fb4bdf964a520b6ac25e3,33.56446,-112.288212,Food,0,3
457,4b3fc4a4f964a52050ae25e3,33.533746,-112.261423,Food,0,3
458,4b3feca5f964a5203cb225e3,33.538059,-112.055236,Food,1,3
459,4b3fed0ef964a52043b225e3,33.508874,-112.083721,Nightlife Spot,43,4
460,4b3ff197f964a520a9b225e3,33.608901,-112.066684,Shop & Service,0,8
461,4b405169f964a5209fb725e3,33.524129,-112.047791,Food,0,3
462,4b40f475f964a52029be25e3,33.576377,-112.117944,Food,1,3
463,4b42bbcdf964a52067d925e3,33.639713,-112.096369,Shop & Service,0,8
464,4b434117f964a5208edd25e3,33.636953,-112.071147,Outdoors & Recreation,4,5
465,4b438909f964a520a4e225e3,33.449527,-112.071871,Food,0,3
466,4b43bd5cf964a5201ae825e3,33.63813,-112.166854,Shop & Service,0,8
467,4b43e455f964a5205bed25e3,33.530112,-112.104787,Outdoors & Recreation,0,5
468,4b44d0c1f964a52008fd25e3,33.430618,-112.044894,Travel & Transport,0,9
469,4b44db67f964a5205bfe25e3,33.535099,-112.26079,Food,0,3
470,4b44e9c8f964a52094ff25e3,33.507719,-112.045722,Food,1,3
471,4b4546adf964a520b00926e3,33.478794,-112.04782,Food,0,3
472,4b468f48f964a520502426e3,33.508758,-112.052951,Shop & Service,0,8
473,4b469f88f964a520c32526e3,33.495466,-112.064688,Food,6,3
474,4b46bee9f964a520b12726e3,33.391867,-112.099697,Shop & Service,1,8
475,4b477cfdf964a520c33326e3,33.567176,-112.116466,Food,1,3
476,4b490b44f964a520696326e3,33.422355,-112.269546,Shop & Service,1,8
477,4b491cd0f964a5205b6626e3,33.422785,-112.271988,Drink,1,2
478,4b492b95f964a520b46826e3,33.464362,-112.074328,Food,1,3
479,4b492e50f964a5201c6926e3,33.507723,-112.267546,Outdoors & Recreation,15,5
480,4b496a57f964a5206e6f26e3,33.486101,-112.122998,Nightlife Spot,0,4
481,4b4a397cf964a520877f26e3,33.508005,-112.046345,Shop & Service,0,8
482,4b4a3d7df964a520458026e3,33.63983,-112.05646,Shop & Service,1,8
483,4b4a4bd1f964a520bf8226e3,33.379208,-112.03321,Shop & Service,0,8
484,4b4b3fcbf964a520839526e3,33.518296,-112.064629,Drink,2,2
485,4b4b8b8af964a520c69f26e3,33.424099,-112.239901,Shop & Service,2,8
486,4b4b972cf964a52039a126e3,33.522634,-112.09287,Shop & Service,15,8
487,4b4ba41ff964a520a6a226e3,33.553448,-112.117723,Shop & Service,1,8
488,4b4beb93f964a52044ab26e3,33.449812,-111.997032,College & University,0,1
489,4b4ccb33f964a52028bf26e3,33.389316,-111.960339,Shop & Service,0,8
490,4b4d11f5f964a520e2c926e3,33.611169,-112.187892,Food,0,3
491,4b4d29b2f964a52001cd26e3,33.583378,-111.976948,Food,0,3
492,4b4e35cbf964a52065e526e3,33.507336,-112.040258,Shop & Service,3,8
493,4b4e8298f964a5200ff026e3,33.581339,-112.118189,Food,4,3
494,4b4ebdf1f964a520d8f426e3,33.429319,-112.074182,Food,1,3
495,4b4f5132f964a5200e0127e3,33.486694,-112.029673,Food,0,3
496,4b4fa97cf964a520b10f27e3,33.598987,-111.9797,Food,5,3
497,4b4fe2a5f964a520a11827e3,33.435446,-111.993822,Professional & Other Places,0,6
498,4b509c7af964a5205e2927e3,33.453975,-112.082755,Food,0,3
499,4b50a00cf964a520fd2927e3,33.437067,-112.070732,Shop & Service,0,8
500,4b510eeef964a520164027e3,33.583807,-111.975098,Shop & Service,0,8
501,4b515427f964a5200c4b27e3,33.641245,-112.187585,Arts & Entertainment,0,0
502,4b51e604f964a520485a27e3,33.415548,-112.008103,Food,0,3
503,4b523c5bf964a520c07127e3,33.483722,-112.047395,Nightlife Spot,2,4
504,4b523fcff964a520a07227e3,33.538408,-112.183734,Shop & Service,0,8
505,4b524c14f964a5209e7527e3,33.641352,-112.011486,Shop & Service,1,8
506,4b5281acf964a520578027e3,33.599256,-111.981909,Shop & Service,7,8
507,4b528e3af964a520218227e3,33.452024,-112.071131,Professional & Other Places,0,6
508,4b533b46f964a520529327e3,33.479998,-112.032131,Food,0,3
509,4b537087f964a520f19c27e3,33.534817,-112.261895,Food,0,3
510,4b53a4cef964a520f6a527e3,33.5995,-111.979051,Shop & Service,4,8
511,4b53c3edf964a520baaa27e3,33.50681,-112.041009,Shop & Service,3,8
512,4b54d994f964a520a5cf27e3,33.611108,-111.994168,Shop & Service,5,8
513,4b54e606f964a5200bd227e3,33.47457,-112.064849,Food,6,3
514,4b54f227f964a5208ad427e3,33.458835,-112.082241,Shop & Service,1,8
515,4b550f58f964a520a9d927e3,33.44949,-112.072048,Travel & Transport,2,9
516,4b556d66f964a52006e427e3,33.582825,-112.151064,Food,0,3
517,4b55de48f964a520bcf327e3,33.493627,-112.04677,Shop & Service,0,8
518,4b55df97f964a52007f427e3,33.497432,-112.048577,Professional & Other Places,0,6
519,4b56135bf964a5201aff27e3,33.495554,-112.155116,Shop & Service,5,8
520,4b573166f964a5205e2a28e3,33.481308,-112.223121,Outdoors & Recreation,0,5
521,4b576dcbf964a5202e3728e3,33.575083,-112.12168,Shop & Service,1,8
522,4b57b598f964a520213d28e3,33.653985,-111.997303,Outdoors & Recreation,0,5
523,4b589c3ff964a520206128e3,33.509636,-112.07201,Food,6,3
524,4b58bbbdf964a520186828e3,33.488237,-112.099443,Professional & Other Places,0,6
525,4b592254f964a5204d7e28e3,33.436051,-111.999527,Food,15,3
526,4b59cf20f964a5204b9928e3,33.492151,-112.11911,Shop & Service,1,8
527,4b5a0b00f964a52091a928e3,33.479922,-112.118685,Food,0,3
528,4b5a58bbf964a520f6be28e3,33.377926,-112.171411,Food,0,3
529,4b5b1f8cf964a520bae428e3,33.639328,-112.064267,Shop & Service,2,8
530,4b5b5a5bf964a5200ef728e3,33.609365,-112.121572,Shop & Service,0,8
531,4b5b5de5f964a52030f828e3,33.63781,-112.190494,Food,0,3
532,4b5b8484f964a520190429e3,33.455546,-111.988646,Shop & Service,4,8
533,4b5b9e5cf964a520640b29e3,33.494548,-112.032084,Nightlife Spot,0,4
534,4b5be373f964a520c41b29e3,33.496097,-112.083247,Nightlife Spot,5,4
535,4b5c7c2bf964a520273229e3,33.480002,-111.991582,Professional & Other Places,0,6
536,4b5c9a07f964a5202e3929e3,33.478747,-112.082748,Professional & Other Places,0,6
537,4b5ccc58f964a520904429e3,33.42701,-112.222518,Professional & Other Places,9,6
538,4b5df632f964a520367629e3,33.524803,-112.20416,Shop & Service,0,8
539,4b5e037df964a520307929e3,33.548077,-112.04534,Travel & Transport,0,9
540,4b5e1745f964a5201b7d29e3,33.420481,-112.223196,Shop & Service,38,8
541,4b5e3baef964a5202d8529e3,33.625564,-111.975875,Shop & Service,3,8
542,4b5f8695f964a52089bf29e3,33.551616,-112.179672,Shop & Service,1,8
543,4b5f93f1f964a520a9c229e3,33.609566,-112.183968,Shop & Service,1,8
544,4b6115d1f964a52019092ae3,33.4784,-111.996474,Arts & Entertainment,0,0
545,4b619744f964a52018192ae3,33.451974,-112.073814,Travel & Transport,13,9
546,4b61e82ff964a5206e2a2ae3,33.508949,-112.05861,Shop & Service,0,8
547,4b620f1df964a52011332ae3,33.495012,-112.054766,Shop & Service,4,8
548,4b627adbf964a52025492ae3,33.487816,-112.048739,Nightlife Spot,0,4
549,4b633f2df964a5204e6d2ae3,33.551888,-112.269239,Food,0,3
550,4b639970f964a52001862ae3,33.565138,-112.253954,Shop & Service,0,8
551,4b63b5eff964a5208e8d2ae3,33.583069,-112.154848,Arts & Entertainment,10,0
552,4b63e911f964a520bb962ae3,33.655539,-112.030739,Nightlife Spot,0,4
553,4b646c2df964a520eab12ae3,33.480076,-112.077213,Food,0,3
554,4b6491d1f964a52089be2ae3,33.477947,-112.090832,Outdoors & Recreation,0,5
555,4b649610f964a520dbbf2ae3,33.610412,-112.169078,Food,2,3
556,4b6497baf964a5205bc02ae3,33.465341,-112.072354,Drink,2,2
557,4b649902f964a520c7c02ae3,33.580897,-112.152823,Shop & Service,0,8
558,4b64a3ccf964a52097c42ae3,33.639273,-112.108996,Shop & Service,0,8
559,4b64b987f964a52054cb2ae3,33.639078,-111.976128,Shop & Service,0,8
560,4b64d60af964a520cdd32ae3,33.552112,-112.26137,Food,0,3
561,4b650686f964a5201ee02ae3,33.494775,-112.256107,Shop & Service,77,8
562,4b661122f964a520c5112be3,33.492037,-112.172599,Arts & Entertainment,0,0
563,4b66e8f4f964a520cc2f2be3,33.663751,-112.184515,College & University,0,1
564,4b671793f964a520e5392be3,33.506575,-112.063912,Professional & Other Places,0,6
565,4b67328ef964a520d9402be3,33.466224,-112.056775,Professional & Other Places,0,6
566,4b6778f1f964a5200c512be3,33.639834,-112.068174,Food,1,3
567,4b6874a3f964a520b3792be3,33.501972,-112.082175,Food,0,3
568,4b69d797f964a5208eb72be3,33.509604,-112.064599,Shop & Service,6,8
569,4b6afe69f964a52044eb2be3,33.377093,-112.133245,Shop & Service,1,8
570,4b6b2bf1f964a52057f72be3,33.51095,-112.074031,Shop & Service,1,8
571,4b6c79fdf964a520433d2ce3,33.395368,-111.959878,Professional & Other Places,4,6
572,4b6ca052f964a5208b472ce3,33.58132,-112.12497,Shop & Service,3,8
573,4b6cb7baf964a520bd4e2ce3,33.522748,-112.097325,Shop & Service,0,8
574,4b6ccfe7f964a5202b562ce3,33.523576,-112.101044,Arts & Entertainment,1,0
575,4b6da855f964a520eb832ce3,33.50949,-112.042266,Shop & Service,1,8
576,4b6dca5af964a52025902ce3,33.48865,-112.082403,Food,4,3
577,4b6dcad9f964a5204d902ce3,33.566648,-112.186949,Food,0,3
578,4b6de390f964a52005992ce3,33.610499,-112.12017,Food,0,3
579,4b6dfe4df964a520d3a12ce3,33.590176,-112.100544,Outdoors & Recreation,0,5
580,4b6f10d9f964a520adda2ce3,33.516345,-112.082831,Drink,7,2
581,4b6f232af964a5208fdf2ce3,33.564324,-112.288747,Shop & Service,0,8
582,4b6f3476f964a52021e42ce3,33.467091,-111.987778,Shop & Service,0,8
583,4b70d971f964a52087312de3,33.495275,-112.020702,Food,0,3
584,4b717ceff964a5203f492de3,33.42435,-111.996024,Professional & Other Places,8,6
585,4b724225f964a520e8752de3,33.461449,-111.985554,Residence,0,7
586,4b730d63f964a52047982de3,33.511343,-111.953087,Outdoors & Recreation,0,5
587,4b7337d5f964a5208ba22de3,33.4834,-112.075376,Food,0,3
588,4b7348dbf964a52050a62de3,33.517672,-112.06353,Shop & Service,9,8
589,4b7365daf964a5209bac2de3,33.57993,-112.122119,Food,0,3
590,4b749156f964a52098e42de3,33.430832,-112.044411,Travel & Transport,2,9
591,4b74a840f964a520a8ea2de3,33.531686,-111.961026,Food,0,3
592,4b74acaaf964a520b5eb2de3,33.566956,-112.255583,Shop & Service,0,8
593,4b74c998f964a5200bf22de3,33.496993,-112.06942,Arts & Entertainment,8,0
594,4b75b95bf964a520f11f2ee3,33.507308,-112.047091,Food,0,3
595,4b771104f964a520c7792ee3,33.461731,-112.07534,Outdoors & Recreation,0,5
596,4b783e31f964a5200ebf2ee3,33.469361,-112.097712,Professional & Other Places,0,6
597,4b784beef964a5202fc32ee3,33.554187,-112.132324,Shop & Service,0,8
598,4b787663f964a520ffcf2ee3,33.466464,-112.203866,Shop & Service,0,8
599,4b799960f964a52082042fe3,33.667097,-112.187324,Food,0,3
600,4b7b5328f964a520645e2fe3,33.466317,-112.239493,Shop & Service,0,8
601,4b7bb32ff964a520416b2fe3,33.567986,-112.133814,Shop & Service,0,8
602,4b7c4586f964a520bb882fe3,33.639702,-112.078973,Shop & Service,1,8
603,4b7c5125f964a520f18b2fe3,33.494998,-112.056474,Shop & Service,7,8
604,4b7c8309f964a520eb972fe3,33.393252,-111.977013,Food,15,3
605,4b7c9fd1f964a520539e2fe3,33.655281,-112.029734,Shop & Service,0,8
606,4b7d8944f964a5202dc52fe3,33.581579,-112.170235,Food,0,3
607,4b7dd115f964a52093d62fe3,33.508834,-112.114207,Shop & Service,18,8
608,4b7e44c0f964a520c4e72fe3,33.480648,-111.949999,Shop & Service,6,8
609,4b7e930bf964a5207af32fe3,33.582344,-112.185743,Food,3,3
610,4b7ed797f964a5208c0330e3,33.471434,-112.237328,Shop & Service,1,8
611,4b7ee63df964a520f90730e3,33.495495,-112.082915,Shop & Service,1,8
612,4b7feedef964a520444530e3,33.508729,-112.046202,Food,0,3
613,4b802f9ff964a520615a30e3,33.469166,-112.047471,Food,3,3
614,4b808240f964a520a07830e3,33.639901,-112.067639,Food,1,3
615,4b808e5af964a520947c30e3,33.583147,-112.119609,Shop & Service,0,8
616,4b80e40af964a520ad9030e3,33.598049,-112.118212,Shop & Service,2,8
617,4b81ca14f964a52034be30e3,33.383091,-111.965072,Shop & Service,0,8
618,4b82a37ef964a520f0db30e3,33.596844,-112.150755,Shop & Service,4,8
619,4b82e511f964a52093eb30e3,33.524349,-112.047104,Nightlife Spot,0,4
620,4b8306d0f964a52050f330e3,33.480807,-111.996549,Professional & Other Places,0,6
621,4b833a52f964a5204ffe30e3,33.50681,-112.07452,Professional & Other Places,0,6
622,4b8421fcf964a520d12231e3,33.508955,-112.071265,Food,0,3
623,4b8558dbf964a520375831e3,33.6113,-112.185452,Drink,0,2
624,4b85b0c6f964a520186d31e3,33.430922,-112.044979,Travel & Transport,1,9
625,4b862926f964a5207d8131e3,33.494781,-112.100229,Shop & Service,0,8
626,4b86ebd4f964a52003a631e3,33.480042,-112.081279,Food,0,3
627,4b885a4ef964a52077f131e3,33.436742,-112.204313,Shop & Service,15,8
628,4b88b2eaf964a520720932e3,33.459002,-112.074987,Professional & Other Places,0,6
629,4b8955d3f964a520812c32e3,33.538201,-112.165586,Food,0,3
630,4b89568df964a520c22c32e3,33.459659,-112.076297,Outdoors & Recreation,16,5
631,4b8ab12ff964a520297a32e3,33.480211,-112.112175,Drink,0,2
632,4b8ac235f964a520167f32e3,33.552174,-112.260031,Food,0,3
633,4b8d3b4bf964a520cbee32e3,33.640163,-112.186017,Food,1,3
634,4b8d6db6f964a52040fb32e3,33.486015,-112.073287,Professional & Other Places,0,6
635,4b8d7617f964a5201dfd32e3,33.377828,-112.17085,Drink,0,2
636,4b8eb924f964a5203e3333e3,33.639783,-112.15125,Food,0,3
637,4b8ef112f964a5200c4033e3,33.379083,-111.977258,Shop & Service,2,8
638,4b8ef4daf964a5200b4133e3,33.598035,-112.06707,Outdoors & Recreation,0,5
639,4b8ef950f964a520214233e3,33.655301,-112.062207,Shop & Service,1,8
640,4b911535f964a520e4a233e3,33.656549,-112.04381,Professional & Other Places,0,6
641,4b928dbdf964a520c00334e3,33.437928,-112.001557,Travel & Transport,22,9
642,4b929d02f964a520db0934e3,33.583043,-112.187758,Shop & Service,2,8
643,4b92e40af964a520c62434e3,33.477641,-112.221208,Food,1,3
644,4b93dccbf964a520e15534e3,33.464624,-112.2186,Shop & Service,0,8
645,4b943336f964a520426e34e3,33.602264,-112.036561,Food,0,3
646,4b943a5ef964a520ef6f34e3,33.483894,-112.074898,Shop & Service,1,8
647,4b944083f964a520437134e3,33.666461,-112.168393,Shop & Service,0,8
648,4b944111f964a520627134e3,33.546104,-112.125137,Residence,0,7
649,4b94480ef964a520c37234e3,33.467121,-112.220999,Food,1,3
650,4b944f4df964a520087434e3,33.510413,-112.026258,Food,1,3
651,4b958bc7f964a5209fa834e3,33.510407,-112.074086,Food,0,3
652,4b966f12f964a52000cc34e3,33.465235,-112.169627,Food,0,3
653,4b96ef4cf964a520e8ee34e3,33.507684,-112.039867,Food,0,3
654,4b985f5bf964a520983e35e3,33.52442,-112.098522,Nightlife Spot,0,4
655,4b9896eef964a520f14735e3,33.523732,-112.108624,Food,0,3
656,4b99a32af964a520028935e3,33.575011,-112.122656,Arts & Entertainment,2,0
657,4b9ae832f964a520d0e135e3,33.66762,-112.124054,Food,0,3
658,4b9ba540f964a5204f1636e3,33.479961,-112.257459,Drink,0,2
659,4b9c0185f964a520ea3f36e3,33.501243,-112.082926,Nightlife Spot,1,4
660,4b9c6da5f964a520f56736e3,33.596656,-112.168273,Food,4,3
661,4b9cb933f964a520347836e3,33.466082,-112.044514,Nightlife Spot,2,4
662,4b9d45e9f964a5200a9f36e3,33.435775,-111.997504,Drink,0,2
663,4b9d7d46f964a520f9af36e3,33.566718,-112.263349,Shop & Service,0,8
664,4b9dd265f964a52014bf36e3,33.641686,-112.100171,Food,0,3
665,4b9ee3edf964a520dd0837e3,33.551735,-112.184026,Shop & Service,6,8
666,4b9fac76f964a520ad3337e3,33.437749,-111.999047,Travel & Transport,8,9
667,4ba01665f964a520f65837e3,33.53802,-112.199337,Food,0,3
668,4ba034c4f964a520806137e3,33.509894,-112.15883,Travel & Transport,0,9
669,4ba17e6cf964a520c7bb37e3,33.508829,-112.037906,Food,0,3
670,4ba235b5f964a520f0e337e3,33.524582,-112.110824,Food,0,3
671,4ba29112f964a520f20438e3,33.509482,-111.995788,Food,0,3
672,4ba2ce69f964a520b91a38e3,33.436876,-111.996936,Travel & Transport,13,9
673,4ba3c934f964a520275f38e3,33.50612,-112.041026,Shop & Service,0,8
674,4ba3dd08f964a520cf6738e3,33.430967,-112.044293,Travel & Transport,2,9
675,4ba50650f964a52016d238e3,33.596627,-112.013616,Shop & Service,0,8
676,4ba5230df964a52055e238e3,33.551883,-112.057972,Shop & Service,0,8
677,4ba52898f964a5207ae538e3,33.63874,-112.092326,Shop & Service,0,8
678,4ba82fcff964a5202dd039e3,33.449742,-112.271941,Shop & Service,0,8
679,4ba8b802f964a5206fe939e3,33.508156,-112.043192,Professional & Other Places,0,6
680,4ba8fdbff964a52044013ae3,33.378838,-111.979094,Shop & Service,0,8
681,4baa3545f964a52057533ae3,33.457175,-112.065001,Outdoors & Recreation,0,5
682,4baa7e20f964a520bd6e3ae3,33.670071,-112.120739,Travel & Transport,0,9
683,4baa8c7bf964a520a6733ae3,33.495153,-112.061797,Food,13,3
684,4baabc37f964a5207a833ae3,33.552176,-112.260829,Food,0,3
685,4baaedb7f964a520468e3ae3,33.43493,-111.983586,Professional & Other Places,2,6
686,4babb9f5f964a52024c43ae3,33.673483,-112.115936,Professional & Other Places,0,6
687,4babebb0f964a52080d53ae3,33.509316,-112.030168,Shop & Service,0,8
688,4babf25af964a52007d83ae3,33.506492,-112.073664,Arts & Entertainment,9,0
689,4bad469cf964a520ee403be3,33.522871,-112.095091,Food,0,3
690,4bad5e11f964a520c04a3be3,33.533429,-112.261253,Food,0,3
691,4bae3560f964a5206e923be3,33.437915,-111.999317,Travel & Transport,14,9
692,4bae4ec0f964a520a5a03be3,33.451164,-111.986818,Shop & Service,8,8
693,4bae9ee8f964a520a4c73be3,33.637522,-112.071754,Food,1,3
694,4baebcf1f964a520a1d33be3,33.55282,-112.053386,Food,0,3
695,4baf7855f964a52064023ce3,33.389593,-111.96534,Outdoors & Recreation,0,5
696,4baff64af964a5209c2e3ce3,33.460985,-112.204914,Shop & Service,0,8
697,4bb02954f964a520523a3ce3,33.49511,-112.079971,Food,4,3
698,4bb02f38f964a520713b3ce3,33.568919,-112.118259,Food,1,3
699,4bb197f4f964a520249b3ce3,33.522757,-112.098913,Shop & Service,27,8
700,4bb26f3e4019a5937ed336b8,33.422536,-112.222772,Food,3,3
701,4bb28ddc42959c74ad04212c,33.685233,-112.083002,Travel & Transport,0,9
702,4bb2d6724019a5938d5f37b8,33.422546,-112.225068,Food,29,3
